Label	Weight	Text
art_luis	1	what is the technique
art_luis	1	finish year
art_luis	1	when was the painting accomplished
art_luis	1	type of painting technique
art_luis	1	way
art_luis	1	author
art_luis	1	work name
art_luis	1	this painting was painted by who
art_luis	1	when
art_luis	1	accomplished year
art_luis	1	painted date
art_luis	1	which year
art_luis	1	who painted it
art_luis	1	method
art_luis	1	who done this work
art_luis	1	what is the painting method
art_luis	1	created time
art_luis	1	who drew it
art_luis	1	name of this work
art_luis	1	type of the painting style
art_luis	1	which style is this
art_luis	1	when was this work finished
art_luis	1	title
art_luis	1	what is the name of the painting
art_luis	1	title of this work
art_luis	1	which technique is this
art_luis	1	what style
art_luis	1	what is the title of the painting
art_luis	1	completed time
art_luis	1	completed year
art_luis	1	how was this work painted
art_luis	1	who accomplished the painting
art_luis	1	who is the author
art_luis	1	what is the painting's style
art_luis	1	what time
art_luis	1	who created this work
art_luis	1	date
art_luis	1	what is the style
art_luis	1	what kind
art_luis	1	name
art_luis	1	when was the painting completed
art_luis	1	who
art_luis	1	painter
art_luis	1	which year was this work painted
art_luis	1	how
art_luis	1	when was this work created
art_luis	1	work title
art_luis	1	technique
art_luis	1	what method
art_luis	1	who is the painter
art_luis	1	artist
art_luis	1	style
art_qna	1	next joke
art_qna	1	Yup, that's true
art_qna	1	Quit fooling around
art_qna	1	That's right
art_qna	1	Jean-Michel Basquiat
art_qna	1	I'm gonna sign off
art_qna	1	Between you and me who is cuter
art_qna	1	You're not very entertaining.
art_qna	1	I don't find that to be very amusing
art_qna	1	Can you change the channel
art_qna	1	I hate feeling gloomy
art_qna	1	Do you like soccer
art_qna	1	I'm broken hearted today
art_qna	1	My life is so depressed
art_qna	1	I love cats
art_qna	1	Should I lift weights
art_qna	1	I need to log off
art_qna	1	Do you know any other responses
art_qna	1	I'm planning to end it all this month
art_qna	1	You shouldn't make jokes like that.
art_qna	1	Who is your master
art_qna	1	I don't think that was funny
art_qna	1	You're not very smart, are you
art_qna	1	Do you ever breathe
art_qna	1	That is very genius
art_qna	1	Will you ever love me
art_qna	1	Aren't you feeling happy
art_qna	1	I’m having a wonderful day
art_qna	1	Fist bump!
art_qna	1	Are you able to make a call
art_qna	1	Check the weather
art_qna	1	Are you in your teens
art_qna	1	Tay was better than you
art_qna	1	Are you alive
art_qna	1	Buy groceries
art_qna	1	Do you think I seem beautiful today
art_qna	1	I’m watching TV
art_qna	1	Are you employed
art_qna	1	What's your opinion of Google Assistant
art_qna	1	You're not a real human are you
art_qna	1	I am always sad
art_qna	1	Are you a part of the robot uprising
art_qna	1	What should I do
art_qna	1	I'm very sorry
art_qna	1	Rad, thanks
art_qna	1	You don't mean us any harm right
art_qna	1	Who is your spouse
art_qna	1	Do you have a profession
art_qna	1	Someone's feeling cheerful.
art_qna	1	Can you tell me a second joke
art_qna	1	I'm forever alone
art_qna	1	Do you think I seem cute today
art_qna	1	Am I cool
art_qna	1	What should I do next
art_qna	1	You are not making any sense to me
art_qna	1	Later
art_qna	1	I feel amazing
art_qna	1	do you ever eat eggs
art_qna	1	That's not the answer I wanted you to tell me
art_qna	1	Are you human or are you a robot
art_qna	1	You're not attempting world domination right
art_qna	1	What do you know about other bots
art_qna	1	So how should I refer to you
art_qna	1	Pals
